$1: Storing input value '5' in register w. w = 5, x = 0, y = 0, z = 0
$146: Storing 'x' * '0' = 0 in 'x'. w = 7, x = 0, y = 24, z = 140002094
$147: Storing 'x' + 'z' = 140002094 in 'x'. w = 7, x = 140002094, y = 24, z = 140002094
$148: Storing 'x' % '26' = 24 in 'x'. w = 7, x = 24, y = 24, z = 140002094
$149: Storing 'z' / '1' = 140002094 in 'z'. w = 7, x = 24, y = 24, z = 140002094
$150: Storing 'x' + '12' = 36 in 'x'. w = 7, x = 36, y = 24, z = 140002094
$151: Storing 'x' == 'w' = 0 in 'x'. w = 7, x = 0, y = 24, z = 140002094
$152: Storing 'x' == '0' = 1 in 'x'. w = 7, x = 1, y = 24, z = 140002094
$153: Storing 'y' * '0' = 0 in 'y'. w = 7, x = 1, y = 0, z = 140002094
$154: Storing 'y' + '25' = 25 in 'y'. w = 7, x = 1, y = 25, z = 140002094
$155: Storing 'y' * 'x' = 25 in 'y'. w = 7, x = 1, y = 25, z = 140002094
$156: Storing 'y' + '1' = 26 in 'y'. w = 7, x = 1, y = 26, z = 140002094
$157: Storing 'z' * 'y' = 3640054444 in 'z'. w = 7, x = 1, y = 26, z = 3640054444
$158: Storing 'y' * '0' = 0 in 'y'. w = 7, x = 1, y = 0, z = 3640054444
$159: Storing 'y' + 'w' = 7 in 'y'. w = 7, x = 1, y = 7, z = 3640054444
$160: Storing 'y' + '4' = 11 in 'y'. w = 7, x = 1, y = 11, z = 3640054444
$161: Storing 'y' * 'x' = 11 in 'y'. w = 7, x = 1, y = 11, z = 3640054444
$162: Storing 'z' + 'y' = 3640054455 in 'z'. w = 7, x = 1, y = 11, z = 3640054455

$163: Storing input value '1' in register w. w = 1, x = 1, y = 11, z = 3640054455
$164: Storing 'x' * '0' = 0 in 'x'. w = 1, x = 0, y = 11, z = 3640054455
$165: Storing 'x' + 'z' = 3640054455 in 'x'. w = 1, x = 3640054455, y = 11, z = 3640054455
$166: Storing 'x' % '26' = 11 in 'x'. w = 1, x = 11, y = 11, z = 3640054455
$167: Storing 'z' / '26' = 140002094 in 'z'. w = 1, x = 11, y = 11, z = 140002094
$168: Storing 'x' + '-6' = 5 in 'x'. w = 1, x = 5, y = 11, z = 140002094
$169: Storing 'x' == 'w' = 0 in 'x'. w = 1, x = 0, y = 11, z = 140002094
$170: Storing 'x' == '0' = 1 in 'x'. w = 1, x = 1, y = 11, z = 140002094
$171: Storing 'y' * '0' = 0 in 'y'. w = 1, x = 1, y = 0, z = 140002094
$172: Storing 'y' + '25' = 25 in 'y'. w = 1, x = 1, y = 25, z = 140002094
$173: Storing 'y' * 'x' = 25 in 'y'. w = 1, x = 1, y = 25, z = 140002094
$174: Storing 'y' + '1' = 26 in 'y'. w = 1, x = 1, y = 26, z = 140002094
$175: Storing 'z' * 'y' = 3640054444 in 'z'. w = 1, x = 1, y = 26, z = 3640054444
$176: Storing 'y' * '0' = 0 in 'y'. w = 1, x = 1, y = 0, z = 3640054444
$177: Storing 'y' + 'w' = 1 in 'y'. w = 1, x = 1, y = 1, z = 3640054444
$178: Storing 'y' + '5' = 6 in 'y'. w = 1, x = 1, y = 6, z = 3640054444
$179: Storing 'y' * 'x' = 6 in 'y'. w = 1, x = 1, y = 6, z = 3640054444
$180: Storing 'z' + 'y' = 3640054450 in 'z'. w = 1, x = 1, y = 6, z = 3640054450

$181: Storing input value '6' in register w. w = 6, x = 1, y = 6, z = 3640054450
$182: Storing 'x' * '0' = 0 in 'x'. w = 6, x = 0, y = 6, z = 3640054450
$183: Storing 'x' + 'z' = 3640054450 in 'x'. w = 6, x = 3640054450, y = 6, z = 3640054450
$184: Storing 'x' % '26' = 6 in 'x'. w = 6, x = 6, y = 6, z = 3640054450
$185: Storing 'z' / '26' = 140002094 in 'z'. w = 6, x = 6, y = 6, z = 140002094
$186: Storing 'x' + '-10' = -4 in 'x'. w = 6, x = -4, y = 6, z = 140002094
$187: Storing 'x' == 'w' = 0 in 'x'. w = 6, x = 0, y = 6, z = 140002094
$188: Storing 'x' == '0' = 1 in 'x'. w = 6, x = 1, y = 6, z = 140002094
$189: Storing 'y' * '0' = 0 in 'y'. w = 6, x = 1, y = 0, z = 140002094
$190: Storing 'y' + '25' = 25 in 'y'. w = 6, x = 1, y = 25, z = 140002094
$191: Storing 'y' * 'x' = 25 in 'y'. w = 6, x = 1, y = 25, z = 140002094
$192: Storing 'y' + '1' = 26 in 'y'. w = 6, x = 1, y = 26, z = 140002094
$193: Storing 'z' * 'y' = 3640054444 in 'z'. w = 6, x = 1, y = 26, z = 3640054444
$194: Storing 'y' * '0' = 0 in 'y'. w = 6, x = 1, y = 0, z = 3640054444
$195: Storing 'y' + 'w' = 6 in 'y'. w = 6, x = 1, y = 6, z = 3640054444
$196: Storing 'y' + '12' = 18 in 'y'. w = 6, x = 1, y = 18, z = 3640054444
$197: Storing 'y' * 'x' = 18 in 'y'. w = 6, x = 1, y = 18, z = 3640054444
$198: Storing 'z' + 'y' = 3640054462 in 'z'. w = 6, x = 1, y = 18, z = 3640054462

$199: Storing input value '4' in register w. w = 4, x = 1, y = 18, z = 3640054462
$200: Storing 'x' * '0' = 0 in 'x'. w = 4, x = 0, y = 18, z = 3640054462
$201: Storing 'x' + 'z' = 3640054462 in 'x'. w = 4, x = 3640054462, y = 18, z = 3640054462
$202: Storing 'x' % '26' = 18 in 'x'. w = 4, x = 18, y = 18, z = 3640054462
$203: Storing 'z' / '26' = 140002094 in 'z'. w = 4, x = 18, y = 18, z = 140002094
$204: Storing 'x' + '-15' = 3 in 'x'. w = 4, x = 3, y = 18, z = 140002094
$205: Storing 'x' == 'w' = 0 in 'x'. w = 4, x = 0, y = 18, z = 140002094
$206: Storing 'x' == '0' = 1 in 'x'. w = 4, x = 1, y = 18, z = 140002094
$207: Storing 'y' * '0' = 0 in 'y'. w = 4, x = 1, y = 0, z = 140002094
$208: Storing 'y' + '25' = 25 in 'y'. w = 4, x = 1, y = 25, z = 140002094
$209: Storing 'y' * 'x' = 25 in 'y'. w = 4, x = 1, y = 25, z = 140002094
$210: Storing 'y' + '1' = 26 in 'y'. w = 4, x = 1, y = 26, z = 140002094
$211: Storing 'z' * 'y' = 3640054444 in 'z'. w = 4, x = 1, y = 26, z = 3640054444
$212: Storing 'y' * '0' = 0 in 'y'. w = 4, x = 1, y = 0, z = 3640054444
$213: Storing 'y' + 'w' = 4 in 'y'. w = 4, x = 1, y = 4, z = 3640054444
$214: Storing 'y' + '11' = 15 in 'y'. w = 4, x = 1, y = 15, z = 3640054444
$215: Storing 'y' * 'x' = 15 in 'y'. w = 4, x = 1, y = 15, z = 3640054444
$216: Storing 'z' + 'y' = 3640054459 in 'z'. w = 4, x = 1, y = 15, z = 3640054459

$217: Storing input value '4' in register w. w = 4, x = 1, y = 15, z = 3640054459
$218: Storing 'x' * '0' = 0 in 'x'. w = 4, x = 0, y = 15, z = 3640054459
$219: Storing 'x' + 'z' = 3640054459 in 'x'. w = 4, x = 3640054459, y = 15, z = 3640054459
$220: Storing 'x' % '26' = 15 in 'x'. w = 4, x = 15, y = 15, z = 3640054459
$221: Storing 'z' / '26' = 140002094 in 'z'. w = 4, x = 15, y = 15, z = 140002094
$222: Storing 'x' + '-9' = 6 in 'x'. w = 4, x = 6, y = 15, z = 140002094
$223: Storing 'x' == 'w' = 0 in 'x'. w = 4, x = 0, y = 15, z = 140002094
$224: Storing 'x' == '0' = 1 in 'x'. w = 4, x = 1, y = 15, z = 140002094
$225: Storing 'y' * '0' = 0 in 'y'. w = 4, x = 1, y = 0, z = 140002094
$226: Storing 'y' + '25' = 25 in 'y'. w = 4, x = 1, y = 25, z = 140002094
$227: Storing 'y' * 'x' = 25 in 'y'. w = 4, x = 1, y = 25, z = 140002094
$228: Storing 'y' + '1' = 26 in 'y'. w = 4, x = 1, y = 26, z = 140002094
$229: Storing 'z' * 'y' = 3640054444 in 'z'. w = 4, x = 1, y = 26, z = 3640054444
$230: Storing 'y' * '0' = 0 in 'y'. w = 4, x = 1, y = 0, z = 3640054444
$231: Storing 'y' + 'w' = 4 in 'y'. w = 4, x = 1, y = 4, z = 3640054444
$232: Storing 'y' + '13' = 17 in 'y'. w = 4, x = 1, y = 17, z = 3640054444
$233: Storing 'y' * 'x' = 17 in 'y'. w = 4, x = 1, y = 17, z = 3640054444
$234: Storing 'z' + 'y' = 3640054461 in 'z'. w = 4, x = 1, y = 17, z = 3640054461

$235: Storing input value '2' in register w. w = 2, x = 1, y = 17, z = 3640054461
$236: Storing 'x' * '0' = 0 in 'x'. w = 2, x = 0, y = 17, z = 3640054461
$237: Storing 'x' + 'z' = 3640054461 in 'x'. w = 2, x = 3640054461, y = 17, z = 3640054461
$238: Storing 'x' % '26' = 17 in 'x'. w = 2, x = 17, y = 17, z = 3640054461
$239: Storing 'z' / '26' = 140002094 in 'z'. w = 2, x = 17, y = 17, z = 140002094
$240: Storing 'x' + '0' = 17 in 'x'. w = 2, x = 17, y = 17, z = 140002094
$241: Storing 'x' == 'w' = 0 in 'x'. w = 2, x = 0, y = 17, z = 140002094
$242: Storing 'x' == '0' = 1 in 'x'. w = 2, x = 1, y = 17, z = 140002094
$243: Storing 'y' * '0' = 0 in 'y'. w = 2, x = 1, y = 0, z = 140002094
$244: Storing 'y' + '25' = 25 in 'y'. w = 2, x = 1, y = 25, z = 140002094
$245: Storing 'y' * 'x' = 25 in 'y'. w = 2, x = 1, y = 25, z = 140002094
$246: Storing 'y' + '1' = 26 in 'y'. w = 2, x = 1, y = 26, z = 140002094
$247: Storing 'z' * 'y' = 3640054444 in 'z'. w = 2, x = 1, y = 26, z = 3640054444
$248: Storing 'y' * '0' = 0 in 'y'. w = 2, x = 1, y = 0, z = 3640054444
$249: Storing 'y' + 'w' = 2 in 'y'. w = 2, x = 1, y = 2, z = 3640054444
$250: Storing 'y' + '7' = 9 in 'y'. w = 2, x = 1, y = 9, z = 3640054444
$251: Storing 'y' * 'x' = 9 in 'y'. w = 2, x = 1, y = 9, z = 3640054444
$252: Storing 'z' + 'y' = 3640054453 in 'z'. w = 2, x = 1, y = 9, z = 3640054453

Result obtained in 7.5942ms
